2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | FETCH ComfyRegistry Data: 15/109\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | FETCH ComfyRegistry Data: 10/109\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | Finished.
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | handler.py          :541  2025-12-03 19:20:40,127 출력 비디오를 찾을 수 없습니다. 모든 노드가 비어있습니다.\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | handler.py          :530  2025-12-03 19:20:40,127 출력 비디오 검색 중...\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | handler.py          :526  2025-12-03 19:20:40,127 웹소켓 연결 종료\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | handler.py          :215  2025-12-03 19:20:40,113 총 0개 노드에서 비디오 파일 경로 수집 완료\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | handler.py          :187  2025-12-03 19:20:40,113 출력 노드 수: 0\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | handler.py          :161  2025-12-03 19:20:39,934 Getting history from: http://127.0.0.1:8188/history/e20bbe39-8495-4298-a9f5-a71b66595f59\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | handler.py          :185  2025-12-03 19:20:39,934 히스토리 조회 중: prompt_id=e20bbe39-8495-4298-a9f5-a71b66595f59\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | handler.py          :180  2025-12-03 19:20:39,934 워크플로우 실행 완료\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | Prompt executed in 0.01 seconds\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | \n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | av.error.InvalidDataError: [Errno 1094995529] Invalid data found when processing input: 'avcodec_receive_frame()'; last error log: [aac] Scalefactor (261) out of range.\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "av/error.pyx", line 424, in av.error.err_check\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "av/codec/context.pyx", line 367, in av.codec.context.CodecContext._recv_frame\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "av/codec/context.pyx", line 343, in av.codec.context.CodecContext._send_packet_and_recv\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "av/codec/context.pyx", line 447, in av.codec.context.CodecContext.decode\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "av/audio/stream.py", line 46, in av.audio.stream.AudioStream.decode\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "av/audio/stream.py", line 36, in av.audio.stream.AudioStream.decode\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "av/packet.py", line 257, in av.packet.Packet.decode\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "av/container/input.pyx", line 216, in decode\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |     for frame in af.decode(streams=stream.index):\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "/ComfyUI/comfy_extras/nodes_audio.py", line 304, in load\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |     waveform, sample_rate = load(audio_path)\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "/ComfyUI/comfy_extras/nodes_audio.py", line 333, in load\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |     result = f(**inputs)\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "/ComfyUI/execution.py", line 286, in process_inputs\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |     await process_inputs(input_dict, i)\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "/ComfyUI/execution.py", line 298, in _async_map_node_over_list\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |     return_values = await _async_map_node_over_list(prompt_id, unique_id, obj, input_data_all, obj.FUNCTION, allow_interrupt=True, execution_block_cb=execution_block_cb, pre_execute_cb=pre_execute_cb, hidden_inputs=hidden_inputs)\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "/ComfyUI/execution.py", line 324, in get_output_data\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |     output_data, output_ui, has_subgraph, has_pending_tasks = await get_output_data(prompt_id, unique_id, obj, input_data_all, execution_block_cb=execution_block_cb, pre_execute_cb=pre_execute_cb, hidden_inputs=hidden_inputs)\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 |   File "/ComfyUI/execution.py", line 510, in execute\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | Traceback (most recent call last):\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | !!! Exception during processing !!! [Errno 1094995529] Invalid data found when processing input: 'avcodec_receive_frame()'; last error log: [aac] Scalefactor (261) out of range.\n
2025-12-03  20:20:45.806 | info | s628jgc3e8blx8 | Scalefactor (261) out of range.\n
